"","A2V1","Block","ID","rank_data","BlockN","BlockN2"
"160",0.2,"main +noise+ condition6","TPR97",60,8,64
"161",0.3,"main +noise+ condition7","TPR97",74.5,9,81
"163",1,"main baseline +noise+","TSC00",150,1,1
"164",0.375,"main +noise+ condition1","TSC00",85,3,9
"165",0.222222222222222,"main +noise+ condition2","TSC00",67.5,4,16
"166",0.7,"main +noise+ condition3","TSC00",120.5,5,25
"167",0.75,"main +noise+ condition4","TSC00",125.5,6,36
"168",0.9,"main +noise+ condition5","TSC00",135,7,49
"169",0.75,"main +noise+ condition6","TSC00",125.5,8,64
"170",1,"main +noise+ condition7","TSC00",150,9,81
"172",0.3,"main baseline +noise+","VPR94",74.5,1,1
"173",0,"main +noise+ condition1","VPR94",17,3,9
"174",0,"main +noise+ condition2","VPR94",17,4,16
"175",0,"main +noise+ condition3","VPR94",17,5,25
"176",0,"main +noise+ condition4","VPR94",17,6,36
"177",0,"main +noise+ condition5","VPR94",17,7,49
"178",0.1,"main +noise+ condition6","VPR94",40.5,8,64
"179",0.2,"main +noise+ condition7","VPR94",60,9,81
